modelo,accuracy_mean,accuracy_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std
ExtraTrees,0.9887301587301588,0.015434416555597132,0.989056575026327,0.015031890293286988,0.9907936507936508,0.012618798040858236,0.9882051282051283,0.01637817376684235
RandomForest,0.9774603174603176,0.023339271461222617,0.9780255012266375,0.022980306957742575,0.9804761904761905,0.020168726430420537,0.9777000777000777,0.023707820408905893
AdaBoost,0.9720634920634922,0.027780045258927463,0.9739800878781388,0.026030257444059596,0.9730158730158731,0.02682610123992944,0.9769047619047619,0.023580913061655696
Bagging_RandomForestBase,0.9717460317460318,0.028180750503075752,0.9727178520209373,0.02687364260578012,0.974920634920635,0.025994941074202214,0.9738111888111888,0.025237325830393915
GradientBoosting,0.9552380952380952,0.03181836996407222,0.9566968611272809,0.030213172659395358,0.9549206349206351,0.03242527312317697,0.9642687051510581,0.024679222645898113
